username,review,rating,date,country,source,clean_review,vader_score,sentiment,sentiment_rating,sentiment_combined,mismatch
Cate Young,Easy,5,2025-08-17 00:17:31,GB,Play Store,easy,0.4404,positive,positive,positive,
Jason Loofburrow,"I did have this app at 5 stars, but with the latest update all movies that I need to use subtitles for now show all the subtitles in the middle of the screen. Until this flaw is fixed I will leave my rating at 2 stars. andits fixed",5,2025-07-23 18:24:09,CA,Play Store,app stars latest update movies need use subtitles show subtitles middle screen flaw fixed leave rating stars andits fixed,-0.0516,negative,positive,neutral,Neutral text but extreme rating
John Neill,does not load,1,2025-09-14 16:37:30,US,Play Store,load,0.0,neutral,negative,negative,
Ridhima Lal,very good but need dubbing in some series,4,2025-09-27 10:58:01,NG,Play Store,good need dubbing series,0.4404,positive,positive,positive,
SnEaKY SNaKE,"You MUST be insane. 24 bucks for a PrEmIuM plan? There was nothing special about it before, what changed?? For 25$, it better have Disney movies and shows and Amazon Prime exclusives!",1,2025-07-21 03:52:55,NG,Play Store,must insane bucks premium plan nothing special changed better disney movies shows amazon prime exclusives,-0.6872,negative,negative,negative,
Pankaj 9721422879,good,5,2025-07-26 13:30:05,NG,Play Store,good,0.4404,positive,positive,positive,
Mohammed Shiyaz,good ui and ux,5,2025-07-24 06:42:48,US,Play Store,good ui ux,0.4404,positive,positive,positive,
Ansh Barot,One of the my favourite app,5,2025-09-05 11:37:01,US,Play Store,one favourite app,0.0,neutral,positive,positive,
Rubi Mohanty,this is very bad,1,2025-07-28 05:29:30,NG,Play Store,bad,-0.5423,negative,negative,negative,
Mintu Mintu,Mintkumar,5,2025-09-21 05:02:41,CA,Play Store,mintkumar,0.0,neutral,positive,positive,
video boy Rohit Tanti,kya iss app me parallel movie milega hindi dubbed me,1,2025-09-20 06:49:41,NG,Play Store,kya iss app parallel movie milega hindi dubbed,0.0,neutral,negative,negative,
Nelson Atuesta,"Funciona bien, pero sería mejor si el brillo en el reproductor pudiera seguir al brillo del dispositivo, no es posible poner el brillo mínimo y es sumamente molesto usar la app en la noche.",1,2025-08-30 14:00:40,US,Play Store,funciona bien pero sera mejor si el brillo en el reproductor pudiera seguir al brillo del dispositivo es posible poner el brillo mnimo y es sumamente molesto usar la app en la noche,0.0,neutral,negative,negative,
ravichandran Ravichandran,good app👍,4,2025-08-17 05:45:28,GB,Play Store,good app,0.4404,positive,positive,positive,
Kristin Test,"Ever since it updated on my TV I can't see what rating I've given a show or movie until I click on it first. Hella annoying and I honestly use Netflix less because of it. Also, when I give something a thumbs down why do you keep showing it to me as a recommendation?! This is getting to be as bad as Hulu",3,2025-08-16 23:17:37,US,Play Store,ever since updated tv cant see rating ive given show movie click first hella annoying honestly use netflix less also give something thumbs keep showing recommendation getting bad hulu,-0.4964,negative,neutral,negative,
Gerard Abraham,it very good,5,2025-08-07 03:29:22,GB,Play Store,good,0.4404,positive,positive,positive,
Panchal Urvi,netflix is very best platform for anime but premium is so costly,5,2025-08-27 14:47:42,CA,Play Store,netflix best platform anime premium costly,0.5859,positive,positive,positive,
Mohamed Siram,best,5,2025-08-18 18:20:26,NG,Play Store,best,0.6369,positive,positive,positive,
Sobhnath,"bakchod app, achchhi filmen hindi mein uplabdh nahin hain, bakwas filmen hindi men hain",1,2025-09-29 16:17:33,CA,Play Store,bakchod app achchhi filmen hindi mein uplabdh nahin hain bakwas filmen hindi men hain,0.0,neutral,negative,negative,
Bej E,"An overpriced streaming app with average content and sometimes strips content when already advertised, so it's also misleading.",2,2025-09-26 00:36:59,CA,Play Store,overpriced streaming app average content sometimes strips content already advertised also misleading,-0.4019,negative,negative,negative,
Linda D.,I've just started..,5,2025-10-07 21:40:13,US,Play Store,ive started,0.0,neutral,positive,positive,
Fatma fathy,it's very nice,5,2025-08-12 14:53:15,NG,Play Store,nice,0.4215,positive,positive,positive,
Mallikarjuna,it is top notch app for watching movies i always see movies and series and thrillers in this and enjoy,5,2025-09-26 09:57:18,NG,Play Store,top notch app watching movies always see movies series thrillers enjoy,0.6249,positive,positive,positive,
Lena Hazleton,"Great app, but I wish you didn't have to subscribe to it every month to even get into it. So I give it a 4 star rate. I love the variety of movies you can watch and how action-packed it is. So, I think it's good... I love how you can choose the no ads subscription. It makes your experience every month when you subscribe to Netflix so much worth it!",4,2025-10-05 22:50:44,CA,Play Store,great app wish didnt subscribe every month even get give star rate love variety movies watch actionpacked think good love choose ads subscription makes experience every month subscribe netflix much worth,0.9638,positive,positive,positive,
Drew Kurtz,now you see less on the screen Netflix used to have the best movie apps now they are sub pair like the other streaming services,3,2025-08-13 04:27:46,CA,Play Store,see less screen netflix used best movie apps sub pair like streaming services,0.7717,positive,neutral,positive,
Ethan Dembicky,I would really like to see vanilla ice goes Amish on here,5,2025-09-03 02:48:24,NG,Play Store,would really like see vanilla ice goes amish,0.4201,positive,positive,positive,
Cynthia Mgijima,the downloads aren't showing and when I use the same account but different phone they do show and I can download,1,2025-09-21 11:24:55,US,Play Store,downloads arent showing use account different phone show download,0.0,neutral,negative,negative,
Hoor Bhatti,"Netflix offers an amazing collection of movies and shows. The streaming quality is excellent, and the app is easy to navigate. It’s a reliable source of entertainment anytime",5,2025-08-21 15:56:37,US,Play Store,netflix offers amazing collection movies shows streaming quality excellent app easy navigate reliable source entertainment anytime,0.9217,positive,positive,positive,
Usman sani,in Urdu chus a jay,5,2025-09-28 02:54:43,US,Play Store,urdu chus jay,0.0,neutral,positive,positive,
Chimaobi Onwudinjo-Emeka,it's the perfect movie app,5,2025-08-29 14:21:51,US,Play Store,perfect movie app,0.5719,positive,positive,positive,
Ionnie Dawa,i love the app....just wish it worked on my android TV....,5,2025-09-18 09:52:50,NG,Play Store,love appjust wish worked android tv,0.7845,positive,positive,positive,
Careful Driver,pushing BS into kids lives FAFO. Uninstalled and canceled. Tired of seeing the B.S. on my TV as well. O wait we don't have cable or satellite any more. Disney as cool as Grogu was is gone to keep it up and we are gonna watch my fish tank for entertainment.,1,2025-10-03 07:08:17,GB,Play Store,pushing bs kids lives fafo uninstalled canceled tired seeing bs tv well o wait dont cable satellite disney cool grogu gone keep gonna watch fish tank entertainment,0.5106,positive,negative,neutral,Neutral text but extreme rating
Alxi,lado mujii,5,2025-08-27 09:44:23,US,Play Store,lado mujii,0.0,neutral,positive,positive,
Marty Gilpatrick,"does not work on my Sony Bravia 49"" 4k TV. anymore. Tried clearing cache, cookies, force stop, unplug, everything at least 4 times. And yes the TV is connected to wifi. Keep getting error msg. May just cancel it at this point.",1,2025-07-22 23:03:28,CA,Play Store,work sony bravia k tv anymore tried clearing cache cookies force stop unplug everything least times yes tv connected wifi keep getting error msg may cancel point,-0.4939,negative,negative,negative,
Ryan Amara Clarkson,Love Netflix just wish they would get newer movies,4,2025-08-18 20:36:28,NG,Play Store,love netflix wish would get newer movies,0.7845,positive,positive,positive,
Jagmat Topgyal,the worst payment system I ever seen,1,2025-09-05 10:41:31,CA,Play Store,worst payment system ever seen,-0.6249,negative,negative,negative,
Daniella Lift,Lovely app,5,2025-08-31 08:23:22,US,Play Store,lovely app,0.5859,positive,positive,positive,
Murray Turner,cannot Uninstaller cannot use without some Arab hijacking,1,2025-08-31 09:17:59,NG,Play Store,cannot uninstaller cannot use without arab hijacking,0.0,neutral,negative,negative,
